City,Date,Temperature,Temp_Min,Temp_Max,Pressure,Sea_Level,Humidity,Wind Speed,Country,Lon,Lat,Description
Astana,2023-12-16 18:00:00,256.36,256.36,256.36,1043,1043,67,3.91,KZ,71.446,51.1801,0
Lisbonne,2023-12-16 12:00:00,286.63,286.63,286.63,1034,1034,49,4.44,PT,-9.1333,38.7167,0
Port-au-Prince,2023-12-16 09:00:00,295.64,295.64,295.64,1013,1013,81,2.35,HT,-72.335,18.5392,0
Bagdad,2023-12-15 15:00:00,290.7,290.7,290.7,1022,1022,38,3.71,IQ,44.4009,33.3406,0
Dhâkâ,2023-12-15 21:00:00,289.92,289.92,289.92,1013,1013,71,2.16,BD,90.4167,24.1667,0
Sanaa,2023-12-15 09:00:00,289.38,289.38,289.38,1019,1019,30,0.92,YE,44.2067,15.3547,0
Islamabad,2023-12-15 18:00:00,285.19,285.19,285.19,1017,1017,30,2.64,PK,73.1338,33.7104,0
San Salvador,2023-12-15 12:00:00,290.64,290.64,290.64,1012,1012,91,1.82,SV,-89.1872,13.6894,0
Abou Dabi,2023-12-15 09:00:00,296.84,296.84,296.84,1017,1017,56,9.5,AE,54.3667,24.4667,0
Ouagadougou,2023-12-15 09:00:00,299.43,299.43,299.43,1014,1014,12,5.67,BF,-1.5383,12.3642,0
Budapest,2023-12-15 03:00:00,275.78,275.78,275.78,1024,1024,74,3.84,HU,19.0399,47.498,0
Budapest,2023-12-15 09:00:00,275.67,275.67,275.67,1028,1028,66,2.59,HU,19.0399,47.498,0
Pékin,2023-12-16 06:00:00,265.45,265.45,265.45,1035,1035,57,6.54,CN,116.3972,39.9075,0
Madrid,2023-12-16 06:00:00,277.19,277.19,277.19,1037,1037,51,2.23,ES,-3.7026,40.4165,0
Téhéran,2023-12-15 18:00:00,282.44,282.44,282.44,1023,1023,36,0.38,IR,51.4215,35.6944,0
Ouagadougou,2023-12-15 06:00:00,292.35,292.35,292.35,1012,1012,18,4.06,BF,-1.5383,12.3642,0
Nassau,2023-12-15 18:00:00,282.64,282.64,282.64,1025,1025,49,5.04,US,-73.5829,40.7507,0
Madrid,2023-12-15 21:00:00,280.77,280.77,280.77,1036,1036,51,2.84,ES,-3.7026,40.4165,0
Katmandou,2023-12-15 18:00:00,281.07,281.07,281.07,1017,1017,84,1.09,NP,85.3167,27.7167,0
Amsterdam,2023-12-16 18:00:00,279.74,279.74,279.74,1040,1040,94,4.57,NL,4.8897,52.374,0
Nassau,2023-12-13 03:00:00,278.4,278.4,278.4,1029,1029,58,5.26,US,-73.5829,40.7507,0
Bakou,2023-12-15 15:00:00,282.99,282.99,282.99,1024,1024,70,1.73,AZ,49.892,40.3777,0
Astana,2023-12-15 03:00:00,254.16,254.16,254.16,1049,1049,67,4.25,KZ,71.446,51.1801,0
Madrid,2023-12-16 03:00:00,278.08,278.08,278.08,1037,1037,51,2.53,ES,-3.7026,40.4165,0
Sanaa,2023-12-15 21:00:00,283.74,283.74,283.74,1022,1022,49,2.04,YE,44.2067,15.3547,0
Abuja,2023-12-15 09:00:00,302.99,302.99,302.99,1013,1013,20,2.17,NG,7.4898,9.0574,0
Niamey,2023-12-15 09:00:00,298.9,298.9,298.9,1015,1015,13,5.98,NE,2.1098,13.5137,0
Dhâkâ,2023-12-16 06:00:00,297.74,297.74,297.74,1014,1014,47,1.68,BD,90.4167,24.1667,0
Dhâkâ,2023-12-15 18:00:00,291.0,291.0,291.0,1014,1014,66,2.25,BD,90.4167,24.1667,0
Managua,2023-12-16 15:00:00,299.66,299.66,299.66,1013,1013,73,2.89,NI,-86.2504,12.1328,0
Lomé,2023-12-16 18:00:00,301.79,301.79,301.79,1008,1008,71,4.88,TG,1.2123,6.1375,0
Naypyidaw,2023-12-16 15:00:00,292.99,292.99,292.99,1013,1013,80,1.27,MM,96.1345,19.754,0
Ndjamena,2023-12-16 06:00:00,293.03,293.03,293.03,1013,1013,17,3.85,TD,15.0444,12.1067,0
Madrid,2023-12-16 00:00:00,279.15,279.15,279.15,1037,1037,51,2.95,ES,-3.7026,40.4165,0
Londres,2023-12-16 15:00:00,280.99,280.99,280.99,1041,1041,88,2.48,GB,-0.1257,51.5085,0
Mogadiscio,2023-12-15 15:00:00,300.67,300.67,300.67,1010,1010,73,7.57,SO,45.3438,2.0371,0
San Salvador,2023-12-15 12:00:00,290.64,290.64,290.64,1012,1012,91,1.82,SV,-89.1872,13.6894,0
Tunis,2023-12-16 15:00:00,289.51,289.51,289.51,1026,1026,32,7.63,TN,9.0,34.0,0
San Salvador,2023-12-16 00:00:00,294.66,294.66,294.66,1009,1009,79,1.12,SV,-89.1872,13.6894,0
Kingston,2023-12-16 06:00:00,295.18,295.18,295.18,1013,1013,84,1.39,JM,-76.7936,17.997,0
Doha,2023-12-16 18:00:00,292.79,292.79,292.79,1021,1021,68,4.42,QA,51.5333,25.2867,0
San Salvador,2023-12-15 15:00:00,296.84,296.84,296.84,1013,1013,64,2.06,SV,-89.1872,13.6894,0
Londres,2023-12-16 03:00:00,277.23,277.23,277.23,1042,1042,89,2.04,GB,-0.1257,51.5085,0
Khartoum,2023-12-15 18:00:00,298.77,298.77,298.77,1012,1012,24,5.09,SD,32.5324,15.5518,0
Ouagadougou,2023-12-15 18:00:00,301.24,301.24,301.24,1010,1010,12,3.47,BF,-1.5383,12.3642,0
Ouagadougou,2023-12-16 00:00:00,295.74,295.74,295.74,1012,1012,14,4.15,BF,-1.5383,12.3642,0
Amman,2023-12-15 03:00:00,283.74,283.74,283.74,1023,1023,82,1.67,JO,35.945,31.9552,0
Londres,2023-12-16 06:00:00,277.26,277.26,277.26,1042,1042,92,1.99,GB,-0.1257,51.5085,0
Riyad,2023-12-15 12:00:00,292.94,292.94,292.94,1021,1021,27,4.99,SA,46.7219,24.6877,0
Brasilia,2023-12-15 15:00:00,305.51,305.51,305.51,1012,1012,21,4.16,BR,-47.9297,-15.7797,0
Accra,2023-12-15 06:00:00,299.98,299.98,299.98,1010,1010,73,1.74,GH,-0.1969,5.556,0
Le Caire,2023-12-15 03:00:00,289.8,289.8,289.8,1022,1022,63,2.68,EG,31.2497,30.0626,0
Abou Dabi,2023-12-16 03:00:00,296.0,296.0,296.0,1019,1019,53,4.3,AE,54.3667,24.4667,0
Tunis,2023-12-16 09:00:00,287.31,287.31,287.31,1029,1029,51,8.06,TN,9.0,34.0,0
Abou Dabi,2023-12-16 00:00:00,296.01,296.01,296.01,1017,1017,55,5.23,AE,54.3667,24.4667,0
Andorre-la-Vieille,2023-12-15 21:00:00,268.51,268.51,268.51,1043,1043,76,5.07,AD,1.4941,42.5045,0
Bangui,2023-12-15 12:00:00,308.52,308.52,308.52,1007,1007,23,1.71,CF,18.555,4.3612,0
Niamey,2023-12-16 03:00:00,293.5,293.5,293.5,1011,1011,14,4.44,NE,2.1098,13.5137,0
Managua,2023-12-15 18:00:00,303.65,303.65,303.65,1010,1010,53,5.23,NI,-86.2504,12.1328,0
Niamey,2023-12-16 06:00:00,291.9,291.9,291.9,1012,1012,16,4.41,NE,2.1098,13.5137,0
Santiago,2023-12-15 21:00:00,300.43,300.43,300.43,1010,1010,16,4.7,CL,-70.6483,-33.4569,0
Astana,2023-12-15 09:00:00,259.74,259.74,259.74,1047,1047,64,3.57,KZ,71.446,51.1801,0
Damas,2023-12-15 03:00:00,283.63,283.63,283.63,1024,1024,83,0.92,SY,36.2913,33.5102,0
Mogadiscio,2023-12-15 18:00:00,300.43,300.43,300.43,1012,1012,76,8.05,SO,45.3438,2.0371,0
Abuja,2023-12-15 09:00:00,302.99,302.99,302.99,1013,1013,20,2.17,NG,7.4898,9.0574,0
Islamabad,2023-12-15 18:00:00,285.19,285.19,285.19,1017,1017,30,2.64,PK,73.1338,33.7104,0
Suva,2023-12-15 21:00:00,299.71,299.71,299.71,1010,1010,70,2.03,FJ,178.4415,-18.1416,0
Ottawa,2023-12-16 18:00:00,272.67,272.67,272.67,1033,1033,57,3.03,CA,-75.6981,45.4112,0
Santiago,2023-12-16 00:00:00,294.8,294.8,294.8,1012,1012,24,2.44,CL,-70.6483,-33.4569,0
Londres,2023-12-15 21:00:00,277.52,277.52,277.52,1042,1042,84,2.2,GB,-0.1257,51.5085,0
Monaco,2023-12-15 15:00:00,286.75,286.75,286.75,1027,1027,48,0.65,MC,7.419,43.7314,0
Tunis,2023-12-16 03:00:00,285.59,285.59,285.59,1026,1026,60,6.31,TN,9.0,34.0,0
Rabat,2023-12-15 15:00:00,293.2,293.2,293.2,1023,1023,38,5.54,MA,-6.8401,33.9911,0
Monaco,2023-12-15 06:00:00,285.03,285.03,285.03,1023,1023,42,2.68,MC,7.419,43.7314,0
Nassau,2023-12-16 09:00:00,278.69,278.69,278.69,1025,1025,58,3.64,US,-73.5829,40.7507,0
Kingston,2023-12-15 09:00:00,294.56,294.56,294.56,1011,1011,90,1.45,JM,-76.7936,17.997,0
Riyad,2023-12-15 12:00:00,292.94,292.94,292.94,1021,1021,27,4.99,SA,46.7219,24.6877,0
Bakou,2023-12-15 18:00:00,282.37,282.37,282.37,1024,1024,74,2.1,AZ,49.892,40.3777,0
Nuku'alofa,2023-12-13 03:00:00,299.12,299.12,299.12,1006,1006,69,4.06,TO,-175.2,-21.1333,0
San Salvador,2023-12-15 09:00:00,291.18,291.18,291.18,1011,1011,87,1.81,SV,-89.1872,13.6894,0
Riyad,2023-12-15 15:00:00,290.34,290.34,290.34,1022,1022,32,3.78,SA,46.7219,24.6877,0
Buenos Aires,2023-12-16 03:00:00,297.52,297.52,297.52,1008,1008,76,6.03,AR,-58.3772,-34.6132,0
Londres,2023-12-16 09:00:00,277.63,277.63,277.63,1043,1043,91,2.26,GB,-0.1257,51.5085,0
Ndjamena,2023-12-16 09:00:00,301.21,301.21,301.21,1013,1013,11,5.18,TD,15.0444,12.1067,0
Rabat,2023-12-15 12:00:00,290.98,290.98,290.98,1025,1025,40,3.89,MA,-6.8401,33.9911,0
Niamey,2023-12-16 18:00:00,300.53,300.53,300.53,1010,1010,11,3.59,NE,2.1098,13.5137,0
Dhâkâ,2023-12-16 09:00:00,298.68,298.68,298.68,1012,1012,41,1.93,BD,90.4167,24.1667,0
Lisbonne,2023-12-16 12:00:00,286.63,286.63,286.63,1034,1034,49,4.44,PT,-9.1333,38.7167,0
Koweït,2023-12-16 15:00:00,293.31,293.31,293.31,1022,1022,41,4.75,KW,47.9783,29.3697,0
Mogadiscio,2023-12-15 18:00:00,300.43,300.43,300.43,1012,1012,76,8.05,SO,45.3438,2.0371,0
Niamey,2023-12-15 15:00:00,306.14,306.14,306.14,1009,1009,8,3.9,NE,2.1098,13.5137,0
Bissau,2023-12-15 21:00:00,298.08,298.08,298.08,1011,1011,63,3.87,GW,-15.5977,11.8636,0
Tunis,2023-12-16 03:00:00,285.59,285.59,285.59,1026,1026,60,6.31,TN,9.0,34.0,0
Lisbonne,2023-12-16 09:00:00,282.15,282.15,282.15,1035,1035,70,4.11,PT,-9.1333,38.7167,0
Mascate,2023-12-16 18:00:00,295.65,295.65,295.65,1019,1019,53,1.07,OM,58.5922,23.6139,0
Ouagadougou,2023-12-16 15:00:00,307.47,307.47,307.47,1008,1008,7,2.76,BF,-1.5383,12.3642,0
New Delhi,2023-12-16 12:00:00,295.8,295.8,295.8,1013,1013,17,1.07,IN,77.2311,28.6128,0
Accra,2023-12-15 06:00:00,299.98,299.98,299.98,1010,1010,73,1.74,GH,-0.1969,5.556,0
Madrid,2023-12-16 00:00:00,279.15,279.15,279.15,1037,1037,51,2.95,ES,-3.7026,40.4165,0
Port-au-Prince,2023-12-16 09:00:00,295.64,295.64,295.64,1013,1013,81,2.35,HT,-72.335,18.5392,0
Ouagadougou,2023-12-15 12:00:00,306.15,306.15,306.15,1011,1011,9,4.93,BF,-1.5383,12.3642,0
Ouagadougou,2023-12-15 18:00:00,301.24,301.24,301.24,1010,1010,12,3.47,BF,-1.5383,12.3642,0
Kingston,2023-12-15 15:00:00,301.75,301.75,301.75,1014,1014,63,0.03,JM,-76.7936,17.997,0
Rabat,2023-12-15 15:00:00,293.2,293.2,293.2,1023,1023,38,5.54,MA,-6.8401,33.9911,0
Bagdad,2023-12-15 12:00:00,293.51,293.51,293.51,1021,1021,29,4.66,IQ,44.4009,33.3406,0
Paris,2023-12-16 12:00:00,280.61,280.61,280.61,1044,1044,70,0.97,FR,2.3488,48.8534,0
Tunis,2023-12-16 06:00:00,285.06,285.06,285.06,1027,1027,61,5.16,TN,9.0,34.0,0
Madrid,2023-12-16 15:00:00,284.62,284.62,284.62,1035,1035,28,2.51,ES,-3.7026,40.4165,0
Riyad,2023-12-15 09:00:00,291.62,291.62,291.62,1023,1023,34,4.3,SA,46.7219,24.6877,0
Riyad,2023-12-16 06:00:00,287.7,287.7,287.7,1025,1025,39,2.92,SA,46.7219,24.6877,0
Katmandou,2023-12-15 21:00:00,280.67,280.67,280.67,1016,1016,84,0.99,NP,85.3167,27.7167,0
Tunis,2023-12-16 03:00:00,285.59,285.59,285.59,1026,1026,60,6.31,TN,9.0,34.0,0
San Salvador,2023-12-15 15:00:00,296.84,296.84,296.84,1013,1013,64,2.06,SV,-89.1872,13.6894,0
Téhéran,2023-12-16 09:00:00,284.66,284.66,284.66,1024,1024,32,1.4,IR,51.4215,35.6944,0
Buenos Aires,2023-12-16 03:00:00,297.52,297.52,297.52,1008,1008,76,6.03,AR,-58.3772,-34.6132,0
Dhâkâ,2023-12-16 00:00:00,288.97,288.97,288.97,1013,1013,77,2.1,BD,90.4167,24.1667,0
Astana,2023-12-15 09:00:00,259.74,259.74,259.74,1047,1047,64,3.57,KZ,71.446,51.1801,0
Ouagadougou,2023-12-16 00:00:00,295.74,295.74,295.74,1012,1012,14,4.15,BF,-1.5383,12.3642,0
Kingston,2023-12-15 12:00:00,295.04,295.04,295.04,1013,1013,91,1.67,JM,-76.7936,17.997,0
Riyad,2023-12-15 12:00:00,292.94,292.94,292.94,1021,1021,27,4.99,SA,46.7219,24.6877,0
Niamey,2023-12-15 09:00:00,298.9,298.9,298.9,1015,1015,13,5.98,NE,2.1098,13.5137,0
Niamey,2023-12-15 09:00:00,298.9,298.9,298.9,1015,1015,13,5.98,NE,2.1098,13.5137,0
Astana,2023-12-16 12:00:00,257.36,257.36,257.36,1041,1041,68,3.24,KZ,71.446,51.1801,0
Ouagadougou,2023-12-15 06:00:00,292.35,292.35,292.35,1012,1012,18,4.06,BF,-1.5383,12.3642,0
Islamabad,2023-12-15 15:00:00,285.98,285.98,285.98,1017,1017,29,2.42,PK,73.1338,33.7104,0
Podgorica,2023-12-16 12:00:00,280.09,280.09,280.09,1029,1029,45,5.95,ME,19.2636,42.4411,0
Koweït,2023-12-16 12:00:00,294.19,294.19,294.19,1021,1021,38,4.78,KW,47.9783,29.3697,0
Téhéran,2023-12-15 12:00:00,283.72,283.72,283.72,1020,1020,43,1.68,IR,51.4215,35.6944,0
Dhâkâ,2023-12-15 21:00:00,289.92,289.92,289.92,1013,1013,71,2.16,BD,90.4167,24.1667,0
Santiago,2023-12-15 12:00:00,293.98,293.98,293.98,1011,1011,29,1.48,CL,-70.6483,-33.4569,0
Accra,2023-12-15 06:00:00,299.98,299.98,299.98,1010,1010,73,1.74,GH,-0.1969,5.556,0
Dhâkâ,2023-12-15 18:00:00,291.0,291.0,291.0,1014,1014,66,2.25,BD,90.4167,24.1667,0
San Salvador,2023-12-15 21:00:00,302.31,302.31,302.31,1007,1007,43,0.74,SV,-89.1872,13.6894,0
Madrid,2023-12-15 03:00:00,276.75,276.75,276.75,1032,1032,65,1.79,ES,-3.7026,40.4165,0
Niamey,2023-12-15 12:00:00,304.93,304.93,304.93,1012,1012,9,5.45,NE,2.1098,13.5137,0
Amman,2023-12-15 03:00:00,283.74,283.74,283.74,1023,1023,82,1.67,JO,35.945,31.9552,0
Santiago,2023-12-16 00:00:00,294.8,294.8,294.8,1012,1012,24,2.44,CL,-70.6483,-33.4569,0
Dhâkâ,2023-12-16 03:00:00,293.51,293.51,293.51,1016,1016,62,2.03,BD,90.4167,24.1667,0
Tunis,2023-12-15 12:00:00,289.86,289.86,289.86,1023,1023,40,3.94,TN,9.0,34.0,0
Manama,2023-12-16 18:00:00,293.98,293.98,293.98,1021,1021,61,5.78,BH,50.5832,26.2154,0
Monrovia,2023-12-16 00:00:00,300.07,300.07,300.07,1011,1011,78,2.55,LR,-10.7969,6.3005,0
Bagdad,2023-12-15 15:00:00,290.7,290.7,290.7,1022,1022,38,3.71,IQ,44.4009,33.3406,0
Mascate,2023-12-16 12:00:00,297.56,297.56,297.56,1017,1017,47,5.25,OM,58.5922,23.6139,0
Dhâkâ,2023-12-15 18:00:00,291.0,291.0,291.0,1014,1014,66,2.25,BD,90.4167,24.1667,0
Koweït,2023-12-16 06:00:00,289.98,289.98,289.98,1023,1023,56,5.49,KW,47.9783,29.3697,0
Pékin,2023-12-16 06:00:00,265.45,265.45,265.45,1035,1035,57,6.54,CN,116.3972,39.9075,0
Riyad,2023-12-16 06:00:00,287.7,287.7,287.7,1025,1025,39,2.92,SA,46.7219,24.6877,0
Abou Dabi,2023-12-16 15:00:00,296.78,296.78,296.78,1019,1019,55,4.97,AE,54.3667,24.4667,0
Londres,2023-12-16 09:00:00,277.63,277.63,277.63,1043,1043,91,2.26,GB,-0.1257,51.5085,0
Islamabad,2023-12-15 12:00:00,287.97,287.97,287.97,1015,1015,26,1.62,PK,73.1338,33.7104,0
Téhéran,2023-12-15 15:00:00,282.96,282.96,282.96,1021,1021,42,0.42,IR,51.4215,35.6944,0
Londres,2023-12-16 09:00:00,277.63,277.63,277.63,1043,1043,91,2.26,GB,-0.1257,51.5085,0
Madrid,2023-12-16 15:00:00,284.62,284.62,284.62,1035,1035,28,2.51,ES,-3.7026,40.4165,0
Koweït,2023-12-16 18:00:00,292.07,292.07,292.07,1022,1022,45,3.62,KW,47.9783,29.3697,0
Téhéran,2023-12-15 18:00:00,282.44,282.44,282.44,1023,1023,36,0.38,IR,51.4215,35.6944,0
Pékin,2023-12-16 09:00:00,264.12,264.12,264.12,1035,1035,55,5.89,CN,116.3972,39.9075,0
Téhéran,2023-12-16 00:00:00,280.98,280.98,280.98,1023,1023,39,0.53,IR,51.4215,35.6944,0
Tunis,2023-12-15 09:00:00,287.02,287.02,287.02,1024,1024,47,3.49,TN,9.0,34.0,0
Niamey,2023-12-15 18:00:00,300.39,300.39,300.39,1011,1011,11,4.16,NE,2.1098,13.5137,0
Doha,2023-12-15 15:00:00,293.54,293.54,293.54,1019,1019,58,7.2,QA,51.5333,25.2867,0
Monaco,2023-12-15 18:00:00,285.69,285.69,285.69,1030,1030,54,1.13,MC,7.419,43.7314,0
Rabat,2023-12-15 06:00:00,284.21,284.21,284.21,1025,1025,62,3.12,MA,-6.8401,33.9911,0
Doha,2023-12-15 15:00:00,293.54,293.54,293.54,1019,1019,58,7.2,QA,51.5333,25.2867,0
Bagdad,2023-12-15 18:00:00,289.06,289.06,289.06,1023,1023,46,3.51,IQ,44.4009,33.3406,0
Astana,2023-12-16 18:00:00,256.36,256.36,256.36,1043,1043,67,3.91,KZ,71.446,51.1801,0
Madrid,2023-12-16 12:00:00,282.55,282.55,282.55,1037,1037,30,2.9,ES,-3.7026,40.4165,0
San Salvador,2023-12-15 21:00:00,302.31,302.31,302.31,1007,1007,43,0.74,SV,-89.1872,13.6894,0
Accra,2023-12-15 09:00:00,301.87,301.87,301.87,1011,1011,64,2.06,GH,-0.1969,5.556,0
Lomé,2023-12-16 18:00:00,301.79,301.79,301.79,1008,1008,71,4.88,TG,1.2123,6.1375,0
Koweït,2023-12-15 06:00:00,290.3,290.3,290.3,1023,1023,56,6.32,KW,47.9783,29.3697,0
Pékin,2023-12-16 15:00:00,261.36,261.36,261.36,1037,1037,74,2.18,CN,116.3972,39.9075,0
Managua,2023-12-16 06:00:00,297.81,297.81,297.81,1011,1011,82,3.83,NI,-86.2504,12.1328,0
Doha,2023-12-15 18:00:00,292.23,292.23,292.23,1021,1021,64,5.5,QA,51.5333,25.2867,0
Bagdad,2023-12-15 09:00:00,292.26,292.26,292.26,1022,1022,37,4.23,IQ,44.4009,33.3406,0
Mascate,2023-12-16 15:00:00,296.37,296.37,296.37,1019,1019,51,1.78,OM,58.5922,23.6139,0
Riyad,2023-12-16 12:00:00,293.73,293.73,293.73,1020,1020,19,3.53,SA,46.7219,24.6877,0
Tegucigalpa,2023-12-16 15:00:00,296.14,296.14,296.14,1016,1016,72,2.37,HN,-87.2068,14.0818,0
Dhâkâ,2023-12-16 15:00:00,292.64,292.64,292.64,1014,1014,58,2.19,BD,90.4167,24.1667,0
Mbabane,2023-12-09 09:00:00,304.03,304.03,304.03,1008,1008,35,3.14,SZ,31.1333,-26.3167,0
Accra,2023-12-15 21:00:00,301.07,301.07,301.07,1011,1011,71,3.25,GH,-0.1969,5.556,0
Le Caire,2023-12-15 12:00:00,297.47,297.47,297.47,1019,1019,37,1.18,EG,31.2497,30.0626,0
Koweït,2023-12-15 15:00:00,292.92,292.92,292.92,1021,1021,42,5.64,KW,47.9783,29.3697,0
Bakou,2023-12-15 21:00:00,282.19,282.19,282.19,1024,1024,75,2.32,AZ,49.892,40.3777,0
Bagdad,2023-12-15 15:00:00,290.7,290.7,290.7,1022,1022,38,3.71,IQ,44.4009,33.3406,0
Londres,2023-12-16 12:00:00,280.77,280.77,280.77,1042,1042,80,2.29,GB,-0.1257,51.5085,0
Pékin,2023-12-16 06:00:00,265.45,265.45,265.45,1035,1035,57,6.54,CN,116.3972,39.9075,0
Ndjamena,2023-12-15 12:00:00,305.13,305.13,305.13,1010,1010,11,4.04,TD,15.0444,12.1067,0
Lomé,2023-12-16 15:00:00,303.63,303.63,303.63,1007,1007,61,6.02,TG,1.2123,6.1375,0
Londres,2023-12-16 06:00:00,277.26,277.26,277.26,1042,1042,92,1.99,GB,-0.1257,51.5085,0
Koweït,2023-12-16 06:00:00,289.98,289.98,289.98,1023,1023,56,5.49,KW,47.9783,29.3697,0
Londres,2023-12-16 12:00:00,280.77,280.77,280.77,1042,1042,80,2.29,GB,-0.1257,51.5085,0
Bagdad,2023-12-15 15:00:00,290.7,290.7,290.7,1022,1022,38,3.71,IQ,44.4009,33.3406,0
Riyad,2023-12-15 15:00:00,290.34,290.34,290.34,1022,1022,32,3.78,SA,46.7219,24.6877,0
Naypyidaw,2023-12-16 12:00:00,295.35,295.35,295.35,1011,1011,73,1.46,MM,96.1345,19.754,0
Riyad,2023-12-16 12:00:00,293.73,293.73,293.73,1020,1020,19,3.53,SA,46.7219,24.6877,0
Katmandou,2023-12-16 06:00:00,290.38,290.38,290.38,1016,1016,50,0.62,NP,85.3167,27.7167,0
Koweït,2023-12-15 18:00:00,291.75,291.75,291.75,1022,1022,45,5.31,KW,47.9783,29.3697,0
Mascate,2023-12-15 12:00:00,297.25,297.25,297.25,1015,1015,52,6.1,OM,58.5922,23.6139,0
New Delhi,2023-12-16 12:00:00,295.8,295.8,295.8,1013,1013,17,1.07,IN,77.2311,28.6128,0
Bagdad,2023-12-15 06:00:00,288.47,288.47,288.47,1024,1024,53,3.7,IQ,44.4009,33.3406,0
Yamoussoukro,2023-12-16 03:00:00,296.34,296.34,296.34,1008,1008,87,1.36,CI,-5.2767,6.8206,0
Madrid,2023-12-15 03:00:00,276.75,276.75,276.75,1032,1032,65,1.79,ES,-3.7026,40.4165,0
Naypyidaw,2023-12-16 15:00:00,292.99,292.99,292.99,1013,1013,80,1.27,MM,96.1345,19.754,0
San José,2023-12-16 15:00:00,284.04,284.04,284.04,1020,1020,36,1.43,US,-121.895,37.3394,0
Sanaa,2023-12-16 00:00:00,282.2,282.2,282.2,1021,1021,54,1.71,YE,44.2067,15.3547,0
Mascate,2023-12-15 09:00:00,297.88,297.88,297.88,1016,1016,51,6.71,OM,58.5922,23.6139,0
Manama,2023-12-16 12:00:00,294.55,294.55,294.55,1020,1020,59,7.35,BH,50.5832,26.2154,0
Amsterdam,2023-12-16 18:00:00,279.74,279.74,279.74,1040,1040,94,4.57,NL,4.8897,52.374,0
Kaboul,2023-12-15 06:00:00,279.94,279.94,279.94,1021,1021,22,0.81,AF,69.4167,34.5,0
Riyad,2023-12-15 21:00:00,286.41,286.41,286.41,1023,1023,41,2.75,SA,46.7219,24.6877,0
Madrid,2023-12-15 03:00:00,276.75,276.75,276.75,1032,1032,65,1.79,ES,-3.7026,40.4165,0
Riyad,2023-12-16 03:00:00,284.34,284.34,284.34,1024,1024,48,2.73,SA,46.7219,24.6877,0
Kingston,2023-12-15 15:00:00,301.75,301.75,301.75,1014,1014,63,0.03,JM,-76.7936,17.997,0
Budapest,2023-12-15 03:00:00,275.78,275.78,275.78,1024,1024,74,3.84,HU,19.0399,47.498,0
Brasilia,2023-12-15 15:00:00,305.51,305.51,305.51,1012,1012,21,4.16,BR,-47.9297,-15.7797,0
Accra,2023-12-15 03:00:00,300.02,300.02,300.02,1008,1008,76,2.81,GH,-0.1969,5.556,0
Koweït,2023-12-16 06:00:00,289.98,289.98,289.98,1023,1023,56,5.49,KW,47.9783,29.3697,0
Bakou,2023-12-16 00:00:00,282.87,282.87,282.87,1023,1023,75,4.42,AZ,49.892,40.3777,0
